LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,FlagCodes
IRL,HHEXP,TOT,MLN_USD,A,2017,95976.4950674999,
IRL,HHEXP,TOT,MLN_USD,A,2018,101028.03540486,
IRL,HHEXP,TOT,MLN_USD,A,2019,106096.321279386,
IRL,HHEXP,TOT,MLN_USD,A,2020,90028.8268365718,
IRL,HHEXP,TOT,MLN_USD,A,2021,95784.5346641755,
ITA,HHEXP,TOT,MLN_USD,A,2011,1229599.47097834,
ITA,HHEXP,TOT,MLN_USD,A,2012,1200875.38139286,
ITA,HHEXP,TOT,MLN_USD,A,2013,1198436.61933781,
ITA,HHEXP,TOT,MLN_USD,A,2014,1195019.76101168,
ITA,HHEXP,TOT,MLN_USD,A,2015,1214057.06363477,
ITA,HHEXP,TOT,MLN_USD,A,2016,1296751.76813114,
ITA,HHEXP,TOT,MLN_USD,A,2017,1345518.38301343,
ITA,HHEXP,TOT,MLN_USD,A,2018,1398646.99580237,
ITA,HHEXP,TOT,MLN_USD,A,2019,1465757.36756666,
ITA,HHEXP,TOT,MLN_USD,A,2020,1310398.717485,
ITA,HHEXP,TOT,MLN_USD,A,2021,1391084.68423873,
LTU,HHEXP,TOT,MLN_USD,A,2011,37766.2332312136,
LTU,HHEXP,TOT,MLN_USD,A,2012,40029.672354211,
LTU,HHEXP,TOT,MLN_USD,A,2013,43335.4225928389,
LTU,HHEXP,TOT,MLN_USD,A,2014,45330.6305350284,
LTU,HHEXP,TOT,MLN_USD,A,2015,46768.6869365583,
LTU,HHEXP,TOT,MLN_USD,A,2016,49994.3031268937,
LTU,HHEXP,TOT,MLN_USD,A,2017,53074.6382585721,
LTU,HHEXP,TOT,MLN_USD,A,2018,56366.9875224485,
LTU,HHEXP,TOT,MLN_USD,A,2019,59898.677625598,
LTU,HHEXP,TOT,MLN_USD,A,2020,57135.8124361821,
LTU,HHEXP,TOT,MLN_USD,A,2021,62324.8110596226,
LUX,HHEXP,TOT,MLN_USD,A,2011,15742.980934693,
LUX,HHEXP,TOT,MLN_USD,A,2012,16378.8086811326,
LUX,HHEXP,TOT,MLN_USD,A,2013,16931.794295135,
LUX,HHEXP,TOT,MLN_USD,A,2014,17412.7441809443,
LUX,HHEXP,TOT,MLN_USD,A,2015,18029.270637263,
LUX,HHEXP,TOT,MLN_USD,A,2016,19035.9132340132,
LUX,HHEXP,TOT,MLN_USD,A,2017,19985.870857485,
LUX,HHEXP,TOT,MLN_USD,A,2018,21549.4156657188,
LUX,HHEXP,TOT,MLN_USD,A,2019,22049.2403663138,
LUX,HHEXP,TOT,MLN_USD,A,2020,19814.5402887233,
LUX,HHEXP,TOT,MLN_USD,A,2021,21900.561586953,
LVA,HHEXP,TOT,MLN_USD,A,2011,21005.8829684287,
LVA,HHEXP,TOT,MLN_USD,A,2012,22801.8713765156,
LVA,HHEXP,TOT,MLN_USD,A,2013,25086.8411574919,
LVA,HHEXP,TOT,MLN_USD,A,2014,25355.2610175402,
LVA,HHEXP,TOT,MLN_USD,A,2015,25754.6481198219,
LVA,HHEXP,TOT,MLN_USD,A,2016,27336.1610714875,
LVA,HHEXP,TOT,MLN_USD,A,2017,29011.7390377207,
LVA,HHEXP,TOT,MLN_USD,A,2018,30678.0552956503,
LVA,HHEXP,TOT,MLN_USD,A,2019,31786.1933846528,
LVA,HHEXP,TOT,MLN_USD,A,2020,30189.6627838124,
LVA,HHEXP,TOT,MLN_USD,A,2021,32887.5407630437,
NLD,HHEXP,TOT,MLN_USD,A,2011,337779.689555203,
NLD,HHEXP,TOT,MLN_USD,A,2012,336653.582457657,
NLD,HHEXP,TOT,MLN_USD,A,2013,344237.375688817,
NLD,HHEXP,TOT,MLN_USD,A,2014,345072.314406015,
NLD,HHEXP,TOT,MLN_USD,A,2015,349850.597959906,
NLD,HHEXP,TOT,MLN_USD,A,2016,362029.159365614,
NLD,HHEXP,TOT,MLN_USD,A,2017,380104.619812463,
NLD,HHEXP,TOT,MLN_USD,A,2018,404756.273958362,
NLD,HHEXP,TOT,MLN_USD,A,2019,418556.736290983,
NLD,HHEXP,TOT,MLN_USD,A,2020,398860.964176266,
